
    Tick   Ticks   Modus   CPU/Tick   CPU/Max   CPU/Raum   CPU/Creep    Bucket-Ø   Bucket-Min   Räume   Creeps
82087247     100    full       9.53     15.25       1.06        0.21        7235         6759    9.00    45.48
82087347     100    full       8.94     17.72       0.99        0.20        8209         7716    9.00    43.73
82087447     100    full       8.52     13.35       0.95        0.19        9236         8731    9.00    44.82
82087547     100    full       8.91     20.79       0.99        0.20        2868           14    9.00    45.54
82087647     100    full       9.45     18.63       1.05        0.21        1207          755    9.00    44.32
82087747     100    full       7.97     14.27       0.89        0.18        2267         1720    9.00    43.18
82087847     100    full       8.10     15.92       0.90        0.20        3379         2832    9.00    41.50
82087947     100    full       8.77     14.88       0.97        0.20        4451         3934    9.00    43.81
82088047     100    full       8.42     20.44       0.94        0.19        5498         4968    9.00    45.32
82088147     100    full       9.39     18.99       1.04        0.20        6533         6039    9.00    46.54
82088247     100    full       9.52     16.60       1.06        0.20        7480         7015    9.00    47.64
82088347     100    full       8.84     15.11       0.98        0.19        8468         7974    9.00    47.79
82088447     100    full       9.60     16.96       1.07        0.20        9492         9000    9.00    49.05
82088547     100    full       8.99     16.91       1.00        0.19        1148            7    9.00    48.08
82088647     100    full       7.88     13.98       0.88        0.17        1506          953    9.00    45.44
82088747     100    full       9.08     16.18       1.01        0.20        2577         2077    9.00    46.18
82088847     100    full       9.22     28.34       1.02        0.20        3572         3079    9.00    46.31
82088947     100    full       9.27     16.09       1.03        0.20        4554         4069    9.00    46.64
82089047     100    full       8.50     14.81       0.94        0.20        5567         5050    9.00    42.11
82089147     100    full       9.32     16.78       1.04        0.21        6595         6109    9.00    43.37
82089247     100    full       8.76     15.41       0.97        0.20        7603         7087    9.00    43.96
82089347     100    full       8.46     14.83       0.94        0.19        8646         8123    9.00    43.54
82089447     100    full       9.14     16.29       1.02        0.21        8170            9    9.00    44.39
82089547     100    full       8.55     15.04       0.95        0.19         702          168    9.00    45.65
82089647     100    full       8.61     15.86       0.96        0.19        1750         1225    9.00    46.31
82089747     100    full       9.31     15.33       1.03        0.21        2757         2274    9.00    45.15
82089847     100    full       8.79     15.58       0.98        0.20        3762         3256    9.00    44.55
82089947     100    full       8.56     16.02       0.95        0.19        4825         4292    9.00    45.54
82090047     100    full       9.46     16.20       1.05        0.20        5841         5352    9.00    46.28
82090147     100    full       8.88     16.45       0.99        0.19        6812         6316    9.00    46.98
82090247     100    full       8.77     17.72       0.97        0.19        7862         7340    9.00    46.34
82090347     100    full       9.67     22.95       1.07        0.21        8851         8377    9.00    46.86
82090447     100    full       9.02     20.65       1.00        0.19        7001           12    9.00    46.47
82090547     100    full       8.46     17.68       0.94        0.19         864          325    9.00    45.10
82090647     100    full       9.18     16.02       1.02        0.21        1897         1391    9.00    43.10
82090747     100    full       8.98     16.75       1.00        0.20        2879         2383    9.00    45.20
82090847     100    full       8.56     15.35       0.95        0.19        3920         3398    9.00    45.22
82090947     100    full       8.38     14.45       0.93        0.19        4982         4452    9.00    44.25
